,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_warm_start,params
0,0.8950863213811421,0.9095744680851063,0.8909574468085106,0.8816489361702128,0.8723404255319149,0.8899228928476469,0.012580478619960759,17,0.7306042671203613,0.03968069610577945,0.05069522857666016,0.013526192338010725,True,3.5881086588351177e-09,entropy,8,log2,0.9355734484361333,1,4,122,True,"OrderedDict([('bootstrap', True), ('ccp_alpha', 3.5881086588351177e-09), ('criterion', 'entropy'), ('max_depth', 8), ('max_features', 'log2'), ('max_samples', 0.9355734484361333), ('min_samples_leaf', 1), ('min_samples_split', 4), ('n_estimators', 122), ('warm_start', True)])"
1,0.9442231075697212,0.9534574468085106,0.9321808510638298,0.9215425531914894,0.9375,0.9377825046530178,0.01079147656743054,4,1.3739675521850585,0.039675185402152306,0.08552680015563965,0.008594790646313692,True,1.0267362767027556e-06,entropy,22,log2,0.8657545635146762,1,5,179,True,"OrderedDict([('bootstrap', True), ('ccp_alpha', 1.0267362767027556e-06), ('criterion', 'entropy'), ('max_depth', 22), ('max_features', 'log2'), ('max_samples', 0.8657545635146762), ('min_samples_leaf', 1), ('min_samples_split', 5), ('n_estimators', 179), ('warm_start', True)])"
2,0.9163346613545816,0.9242021276595744,0.913563829787234,0.901595744680851,0.910904255319149,0.9133209252858282,0.007359380174396584,13,1.2373607635498047,0.030487332607974538,0.0818209171295166,0.007537024146928956,True,1.3214217614457433e-09,gini,15,log2,0.8379861465987923,4,5,197,False,"OrderedDict([('bootstrap', True), ('ccp_alpha', 1.3214217614457433e-09), ('criterion', 'gini'), ('max_depth', 15), ('max_features', 'log2'), ('max_samples', 0.8379861465987923), ('min_samples_leaf', 4), ('min_samples_split', 5), ('n_estimators', 197), ('warm_start', False)])"
3,0.9189907038512616,0.925531914893617,0.9162234042553191,0.9042553191489362,0.8976063829787234,0.912523265089072,0.010154157547127429,14,0.8298596858978271,0.013494651941249708,0.06281533241271972,0.0072013632559890005,True,5.060075060738406e-06,entropy,21,log2,0.9279525070558371,5,7,129,True,"OrderedDict([('bootstrap', True), ('ccp_alpha', 5.060075060738406e-06), ('criterion', 'entropy'), ('max_depth', 21), ('max_features', 'log2'), ('max_samples', 0.9279525070558371), ('min_samples_leaf', 5), ('min_samples_split', 7), ('n_estimators', 129), ('warm_start', True)])"
4,0.9189907038512616,0.9281914893617021,0.913563829787234,0.9069148936170213,0.9069148936170213,0.9149162456793406,0.008032955492031906,12,1.1910198211669922,0.055319461575112305,0.07589669227600097,0.009674891711817868,True,1.7203153956016258e-06,entropy,29,log2,0.7219572681048695,4,6,181,False,"OrderedDict([('bootstrap', True), ('ccp_alpha', 1.7203153956016258e-06), ('criterion', 'entropy'), ('max_depth', 29), ('max_features', 'log2'), ('max_samples', 0.7219572681048695), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 181), ('warm_start', False)])"
5,0.9176626826029216,0.9268617021276596,0.910904255319149,0.9055851063829787,0.9002659574468085,0.91225737835682,0.009301308774846669,15,1.0415014266967773,0.024079878687924806,0.06219916343688965,0.010838242429166003,True,7.640627292566101e-06,gini,11,sqrt,0.5045521204966767,4,4,157,False,"OrderedDict([('bootstrap', True), ('ccp_alpha', 7.640627292566101e-06), ('criterion', 'gini'), ('max_depth', 11), ('max_features', 'sqrt'), ('max_samples', 0.5045521204966767), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 157), ('warm_start', False)])"
6,0.9216467463479415,0.9268617021276596,0.925531914893617,0.9148936170212766,0.9162234042553191,0.921031640521138,0.004803846940085488,9,1.1829137802124023,0.01090080326403062,0.08954300880432128,0.01115040393765103,True,7.421152537755969e-09,gini,20,log2,0.9001445103276019,3,6,183,False,"OrderedDict([('bootstrap', True), ('ccp_alpha', 7.421152537755969e-09), ('criterion', 'gini'), ('max_depth', 20), ('max_features', 'log2'), ('max_samples', 0.9001445103276019), ('min_samples_leaf', 3), ('min_samples_split', 6), ('n_estimators', 183), ('warm_start', False)])"
7,0.8871181938911022,0.8976063829787234,0.886968085106383,0.8710106382978723,0.8789893617021277,0.8843392714703536,0.008908737792661856,18,0.8112377166748047,0.032404380638653384,0.034818506240844725,0.0031736392313999277,False,0.0044659589207126805,gini,28,sqrt,0.5179068001304006,3,2,70,True,"OrderedDict([('bootstrap', False), ('ccp_alpha', 0.0044659589207126805), ('criterion', 'gini'), ('max_depth', 28), ('max_features', 'sqrt'), ('max_samples', 0.5179068001304006), ('min_samples_leaf', 3), ('min_samples_split', 2), ('n_estimators', 70), ('warm_start', True)])"
8,0.9362549800796812,0.9375,0.9308510638297872,0.9228723404255319,0.9268617021276596,0.9308694496144643,0.005531404025489638,6,0.9194541454315186,0.04188764744754894,0.06136507987976074,0.0115844227933872,False,4.64478648179789e-05,gini,34,log2,0.7312307621802805,2,9,100,False,"OrderedDict([('bootstrap', False), ('ccp_alpha', 4.64478648179789e-05), ('criterion', 'gini'), ('max_depth', 34), ('max_features', 'log2'), ('max_samples', 0.7312307621802805), ('min_samples_leaf', 2), ('min_samples_split', 9), ('n_estimators', 100), ('warm_start', False)])"
9,0.9282868525896414,0.9348404255319149,0.9202127659574468,0.9082446808510638,0.9082446808510638,0.9199680935921297,0.010632651339634407,10,2.1206469535827637,0.031446514306299765,0.07811431884765625,0.00809217168046757,False,0.0011503520423073832,gini,37,sqrt,0.6726722357768004,4,9,193,True,"OrderedDict([('bootstrap', False), ('ccp_alpha', 0.0011503520423073832), ('criterion', 'gini'), ('max_depth', 37), ('max_features', 'sqrt'), ('max_samples', 0.6726722357768004), ('min_samples_leaf', 4), ('min_samples_split', 9), ('n_estimators', 193), ('warm_start', True)])"
10,0.5816733067729084,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5822919436320129,0.00030952402507477097,20,1.6840754508972169,0.03377722141703172,0.056658458709716794,0.009139585028907687,True,0.6243981813253564,entropy,37,sqrt,0.7603994447998125,4,3,200,True,"OrderedDict([('bootstrap', True), ('ccp_alpha', 0.6243981813253564), ('criterion', 'entropy'), ('max_depth', 37), ('max_features', 'sqrt'), ('max_samples', 0.7603994447998125), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 200), ('warm_start', True)])"
11,0.5816733067729084,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5822919436320129,0.00030952402507477097,20,0.39172797203063964,0.016178485669545887,0.020230674743652345,0.0041826937276570175,False,1.0,gini,50,log2,0.9896835480242243,4,5,50,False,"OrderedDict([('bootstrap', False), ('ccp_alpha', 1.0), ('criterion', 'gini'), ('max_depth', 50), ('max_features', 'log2'), ('max_samples', 0.9896835480242243), ('min_samples_leaf', 4), ('min_samples_split', 5), ('n_estimators', 50), ('warm_start', False)])"
12,0.9229747675962815,0.9188829787234043,0.9082446808510638,0.8936170212765957,0.910904255319149,0.9109279446955597,0.010152171925568072,16,0.3443796634674072,0.012654632451018718,0.021717262268066407,0.004855103667604751,True,6.092939798869049e-08,gini,29,log2,0.99,5,9,50,True,"OrderedDict([('bootstrap', True), ('ccp_alpha', 6.092939798869049e-08), ('criterion', 'gini'), ('max_depth', 29), ('max_features', 'log2'), ('max_samples', 0.99), ('min_samples_leaf', 5), ('min_samples_split', 9), ('n_estimators', 50), ('warm_start', True)])"
13,0.5816733067729084,0.5877659574468085,0.5917553191489362,0.663563829787234,0.5824468085106383,0.6014357883541611,0.03127562927190784,19,0.20899658203125,0.00809655481926041,0.019652843475341797,0.004364322213998252,True,0.00019956103901232975,gini,1,sqrt,0.5,1,2,50,True,"OrderedDict([('bootstrap', True), ('ccp_alpha', 0.00019956103901232975), ('criterion', 'gini'), ('max_depth', 1), ('max_features', 'sqrt'), ('max_samples', 0.5), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 50), ('warm_start', True)])"
14,0.952191235059761,0.9574468085106383,0.9388297872340425,0.9281914893617021,0.9335106382978723,0.9420366923690507,0.011092586695557002,1,1.4505508899688722,0.05125140678806936,0.07545452117919922,0.01296746508626863,False,2.6951192424369455e-08,gini,37,log2,0.5579300926009148,1,10,159,False,"OrderedDict([('bootstrap', False), ('ccp_alpha', 2.6951192424369455e-08), ('criterion', 'gini'), ('max_depth', 37), ('max_features', 'log2'), ('max_samples', 0.5579300926009148), ('min_samples_leaf', 1), ('min_samples_split', 10), ('n_estimators', 159), ('warm_start', False)])"
15,0.5816733067729084,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5822919436320129,0.00030952402507477097,20,0.548718786239624,0.01730589361626737,0.022626924514770507,0.006222476637114912,True,0.27655124695599825,entropy,40,sqrt,0.9007835886281801,1,8,51,False,"OrderedDict([('bootstrap', True), ('ccp_alpha', 0.27655124695599825), ('criterion', 'entropy'), ('max_depth', 40), ('max_features', 'sqrt'), ('max_samples', 0.9007835886281801), ('min_samples_leaf', 1), ('min_samples_split', 8), ('n_estimators', 51), ('warm_start', False)])"
16,0.9229747675962815,0.925531914893617,0.9162234042553191,0.9055851063829787,0.913563829787234,0.916777452805105,0.007084272906008177,11,1.735495376586914,0.02112518816383794,0.09094209671020508,0.007928132171849926,True,2.3898158889365737e-06,gini,17,sqrt,0.5860352732979232,5,4,198,False,"OrderedDict([('bootstrap', True), ('ccp_alpha', 2.3898158889365737e-06), ('criterion', 'gini'), ('max_depth', 17), ('max_features', 'sqrt'), ('max_samples', 0.5860352732979232), ('min_samples_leaf', 5), ('min_samples_split', 4), ('n_estimators', 198), ('warm_start', False)])"
17,0.9402390438247012,0.9481382978723404,0.9414893617021277,0.9308510638297872,0.9361702127659575,0.9393778250465302,0.005742782128439547,2,1.5037770748138428,0.0638440563592791,0.061261224746704104,0.00910731307003998,False,2.1216276604761222e-07,gini,23,sqrt,0.5,2,2,128,True,"OrderedDict([('bootstrap', False), ('ccp_alpha', 2.1216276604761222e-07), ('criterion', 'gini'), ('max_depth', 23), ('max_features', 'sqrt'), ('max_samples', 0.5), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 128), ('warm_start', True)])"
18,0.9402390438247012,0.9534574468085106,0.9388297872340425,0.925531914893617,0.9335106382978723,0.9383142781175219,0.009161256628511017,3,2.545382356643677,0.027994998728211613,0.09572277069091797,0.005894635517822762,False,1.3075314138593528e-07,gini,40,sqrt,0.5,2,6,200,False,"OrderedDict([('bootstrap', False), ('ccp_alpha', 1.3075314138593528e-07), ('criterion', 'gini'), ('max_depth', 40), ('max_features', 'sqrt'), ('max_samples', 0.5), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 200), ('warm_start', False)])"
19,0.9335989375830013,0.9401595744680851,0.9321808510638298,0.9268617021276596,0.9215425531914894,0.9308694496144643,0.006300578593021676,6,2.122075891494751,0.033591455943947544,0.087481689453125,0.0076428125783527855,False,1e-09,entropy,40,sqrt,0.6105982099483646,5,7,188,True,"OrderedDict([('bootstrap', False), ('ccp_alpha', 1e-09), ('criterion', 'entropy'), ('max_depth', 40), ('max_features', 'sqrt'), ('max_samples', 0.6105982099483646), ('min_samples_leaf', 5), ('min_samples_split', 7), ('n_estimators', 188), ('warm_start', True)])"
20,0.5816733067729084,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5822919436320129,0.00030952402507477097,20,0.6674992084503174,0.038477837865207566,0.058798027038574216,0.0067447331056595125,False,2.3249333222723231e-07,gini,1,sqrt,0.8437801701796243,1,10,200,False,"OrderedDict([('bootstrap', False), ('ccp_alpha', 2.3249333222723231e-07), ('criterion', 'gini'), ('max_depth', 1), ('max_features', 'sqrt'), ('max_samples', 0.8437801701796243), ('min_samples_leaf', 1), ('min_samples_split', 10), ('n_estimators', 200), ('warm_start', False)])"
21,0.9402390438247012,0.9468085106382979,0.9375,0.9308510638297872,0.9335106382978723,0.9377825046530178,0.005546963140775578,4,1.6535593032836915,0.0626101804487138,0.09253535270690919,0.0028276224987864858,False,1e-09,gini,15,log2,0.6120273224613427,1,2,200,False,"OrderedDict([('bootstrap', False), ('ccp_alpha', 1e-09), ('criterion', 'gini'), ('max_depth', 15), ('max_features', 'log2'), ('max_samples', 0.6120273224613427), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 200), ('warm_start', False)])"
22,0.9349269588313412,0.9361702127659575,0.9308510638297872,0.9188829787234043,0.9242021276595744,0.9290082424886998,0.006562469556203991,8,2.0649077892303467,0.06469482319194673,0.07540655136108398,0.012412096689236964,False,6.971611866425e-05,gini,39,sqrt,0.5,5,5,200,True,"OrderedDict([('bootstrap', False), ('ccp_alpha', 6.971611866425e-05), ('criterion', 'gini'), ('max_depth', 39), ('max_features', 'sqrt'), ('max_samples', 0.5), ('min_samples_leaf', 5), ('min_samples_split', 5), ('n_estimators', 200), ('warm_start', True)])"
23,0.5816733067729084,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5822919436320129,0.00030952402507477097,20,0.7081574440002442,0.03738288346403175,0.06379122734069824,0.004754609125305519,False,1e-09,gini,1,log2,0.5,1,2,200,False,"OrderedDict([('bootstrap', False), ('ccp_alpha', 1e-09), ('criterion', 'gini'), ('max_depth', 1), ('max_features', 'log2'), ('max_samples', 0.5), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 200), ('warm_start', False)])"
24,0.5816733067729084,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5822919436320129,0.00030952402507477097,20,0.47895302772521975,0.030446047877966297,0.012494707107543945,0.006247354487991166,False,1.0,gini,19,log2,0.5877769020579735,1,3,50,False,"OrderedDict([('bootstrap', False), ('ccp_alpha', 1.0), ('criterion', 'gini'), ('max_depth', 19), ('max_features', 'log2'), ('max_samples', 0.5877769020579735), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 50), ('warm_start', False)])"
