,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_gamma,param_lambda,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params
0,0.9389110225763613,0.9375,0.9401595744680851,0.9401595744680851,0.9295212765957447,0.9372507311885137,0.003986688841878548,8,4.74124059677124,0.12032418724207641,0.01874551773071289,0.006250215386825732,0.002107681249770302,0.15548655863280092,1.8992018546362966e-06,5.593977880531548e-08,0.09690606246621411,18,1,63,0.7394782887996654,"OrderedDict([('alpha', 0.002107681249770302), ('colsample_bytree', 0.15548655863280092), ('gamma', 1.8992018546362966e-06), ('lambda', 5.593977880531548e-08), ('learning_rate', 0.09690606246621411), ('max_depth', 18), ('min_child_weight', 1), ('n_estimators', 63), ('subsample', 0.7394782887996654)])"
1,0.9442231075697212,0.9521276595744681,0.9388297872340425,0.9481382978723404,0.9441489361702128,0.9454932198883276,0.004445440636423575,4,9.962246990203857,0.1390774046456424,0.01934189796447754,0.00601258295004945,0.0014191129358860485,0.4011458906809745,1.8023871181327715e-09,0.00016493015774619377,0.06410712948858617,15,0,68,0.928723943060398,"OrderedDict([('alpha', 0.0014191129358860485), ('colsample_bytree', 0.4011458906809745), ('gamma', 1.8023871181327715e-09), ('lambda', 0.00016493015774619377), ('learning_rate', 0.06410712948858617), ('max_depth', 15), ('min_child_weight', 0), ('n_estimators', 68), ('subsample', 0.928723943060398)])"
2,0.9176626826029216,0.9242021276595744,0.9202127659574468,0.9228723404255319,0.9029255319148937,0.9175751130018612,0.007661266312537193,15,2.9974578857421874,0.03361281435331566,0.03437328338623047,0.0062490707176402404,0.029757134630289256,0.11210414545821715,0.004978031904676388,2.298511845001651e-06,0.07868733345223605,14,7,68,0.990466056612989,"OrderedDict([('alpha', 0.029757134630289256), ('colsample_bytree', 0.11210414545821715), ('gamma', 0.004978031904676388), ('lambda', 2.298511845001651e-06), ('learning_rate', 0.07868733345223605), ('max_depth', 14), ('min_child_weight', 7), ('n_estimators', 68), ('subsample', 0.990466056612989)])"
3,0.9163346613545816,0.9308510638297872,0.9202127659574468,0.9122340425531915,0.9215425531914894,0.9202339803243819,0.006222663344935072,14,6.798875904083252,0.1682715555233771,0.014530754089355469,0.002520267970706937,0.0021426951012001308,0.47041569591763044,1.1268483194913195e-08,6.66204158391103e-05,0.06832822098683475,17,10,81,0.7635782745932461,"OrderedDict([('alpha', 0.0021426951012001308), ('colsample_bytree', 0.47041569591763044), ('gamma', 1.1268483194913195e-08), ('lambda', 6.66204158391103e-05), ('learning_rate', 0.06832822098683475), ('max_depth', 17), ('min_child_weight', 10), ('n_estimators', 81), ('subsample', 0.7635782745932461)])"
4,0.9362549800796812,0.9308510638297872,0.9321808510638298,0.9175531914893617,0.9228723404255319,0.9279446955596916,0.006770462939830468,13,5.354830408096314,0.13794326864597706,0.0206298828125,0.006152781515906336,0.07928046473600696,0.4235608075984558,1.67665900058721e-09,0.007078758136627042,0.08734715018039703,9,7,75,0.9382689022901303,"OrderedDict([('alpha', 0.07928046473600696), ('colsample_bytree', 0.4235608075984558), ('gamma', 1.67665900058721e-09), ('lambda', 0.007078758136627042), ('learning_rate', 0.08734715018039703), ('max_depth', 9), ('min_child_weight', 7), ('n_estimators', 75), ('subsample', 0.9382689022901303)])"
5,0.5816733067729084,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5822919436320129,0.00030952402507477097,23,0.919115400314331,0.00022941827495304382,0.025454378128051756,0.008018117187999253,0.5106133530537277,0.48831290154495777,0.00015871959913138373,2.378120953403264e-07,0.17987104851840577,0,7,65,0.8582316148739674,"OrderedDict([('alpha', 0.5106133530537277), ('colsample_bytree', 0.48831290154495777), ('gamma', 0.00015871959913138373), ('lambda', 2.378120953403264e-07), ('learning_rate', 0.17987104851840577), ('max_depth', 0), ('min_child_weight', 7), ('n_estimators', 65), ('subsample', 0.8582316148739674)])"
6,0.9216467463479415,0.9215425531914894,0.913563829787234,0.9202127659574468,0.910904255319149,0.9175751130018612,0.004469053915648161,15,3.995147466659546,0.1003843869907501,0.015719127655029298,0.0005900377176755752,0.0007038195949977947,0.1870471358367638,0.0001717764390722999,3.535710042142777e-05,0.027503210440228108,16,6,73,0.9438912542272697,"OrderedDict([('alpha', 0.0007038195949977947), ('colsample_bytree', 0.1870471358367638), ('gamma', 0.0001717764390722999), ('lambda', 3.535710042142777e-05), ('learning_rate', 0.027503210440228108), ('max_depth', 16), ('min_child_weight', 6), ('n_estimators', 73), ('subsample', 0.9438912542272697)])"
7,0.8446215139442231,0.8271276595744681,0.8125,0.8497340425531915,0.8218085106382979,0.8311619250199415,0.013986378809409733,20,1.428182601928711,0.01820131513967729,0.02187237739562988,0.007653292892817895,7.003402338794183e-07,0.7649914723977279,0.015029751458901291,0.0035582900404887425,0.18721863266560737,1,5,50,0.5657522887795485,"OrderedDict([('alpha', 7.003402338794183e-07), ('colsample_bytree', 0.7649914723977279), ('gamma', 0.015029751458901291), ('lambda', 0.0035582900404887425), ('learning_rate', 0.18721863266560737), ('max_depth', 1), ('min_child_weight', 5), ('n_estimators', 50), ('subsample', 0.5657522887795485)])"
8,0.9402390438247012,0.9401595744680851,0.9321808510638298,0.9281914893617021,0.9295212765957447,0.934060090401489,0.0051763145313700664,10,9.269514083862305,0.2817880184806677,0.017555952072143555,0.004358459055729215,1.063691222396563e-05,0.5666965754517326,0.03431344193351762,0.14470390515416198,0.06949980334805778,9,3,96,0.6665270013623132,"OrderedDict([('alpha', 1.063691222396563e-05), ('colsample_bytree', 0.5666965754517326), ('gamma', 0.03431344193351762), ('lambda', 0.14470390515416198), ('learning_rate', 0.06949980334805778), ('max_depth', 9), ('min_child_weight', 3), ('n_estimators', 96), ('subsample', 0.6665270013623132)])"
9,0.9335989375830013,0.9388297872340425,0.9375,0.9361702127659575,0.9428191489361702,0.9377825046530178,0.003054733355053799,7,7.5624288558959964,0.11744003524327212,0.02525668144226074,0.00735434215309737,1.1176346558801303e-08,0.7060830767861989,0.0002775173143273028,0.7884064568114199,0.5199784343596193,7,7,96,0.9782870712898664,"OrderedDict([('alpha', 1.1176346558801303e-08), ('colsample_bytree', 0.7060830767861989), ('gamma', 0.0002775173143273028), ('lambda', 0.7884064568114199), ('learning_rate', 0.5199784343596193), ('max_depth', 7), ('min_child_weight', 7), ('n_estimators', 96), ('subsample', 0.9782870712898664)])"
10,0.8671978751660027,0.9162234042553191,0.910904255319149,0.8896276595744681,0.9122340425531915,0.8992289284764691,0.01851129313410927,17,10.635750341415406,0.31010191995705605,0.016128110885620116,0.0031120301235479054,4.1275303276683586e-05,1.0,1e-09,0.005843013862558028,1.0,13,0,50,0.654225967774793,"OrderedDict([('alpha', 4.1275303276683586e-05), ('colsample_bytree', 1.0), ('gamma', 1e-09), ('lambda', 0.005843013862558028), ('learning_rate', 1.0), ('max_depth', 13), ('min_child_weight', 0), ('n_estimators', 50), ('subsample', 0.654225967774793)])"
11,0.5816733067729084,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5822919436320129,0.00030952402507477097,23,0.737155818939209,0.01657297156473069,0.025549936294555663,0.005781024994191307,1.0,0.1,1e-09,1000.0,0.01,0,0,58,1.0,"OrderedDict([('alpha', 1.0), ('colsample_bytree', 0.1), ('gamma', 1e-09), ('lambda', 1000.0), ('learning_rate', 0.01), ('max_depth', 0), ('min_child_weight', 0), ('n_estimators', 58), ('subsample', 1.0)])"
12,0.8738379814077025,0.8776595744680851,0.8577127659574468,0.8617021276595744,0.8617021276595744,0.8665248604094655,0.0077669171078857055,19,23.56890959739685,0.5931932902602622,0.02252354621887207,0.00327564689403603,1.0,1.0,1e-09,1000.0,0.03537598063395397,17,0,100,1.0,"OrderedDict([('alpha', 1.0), ('colsample_bytree', 1.0), ('gamma', 1e-09), ('lambda', 1000.0), ('learning_rate', 0.03537598063395397), ('max_depth', 17), ('min_child_weight', 0), ('n_estimators', 100), ('subsample', 1.0)])"
13,0.9309428950863213,0.9388297872340425,0.9242021276595744,0.925531914893617,0.9215425531914894,0.9282105822919436,0.006130229702182983,12,3.8782492160797117,0.04652768985664521,0.020790529251098634,0.0039196992848010885,0.004119075841860079,0.1,1e-09,3.0995452968358134e-08,0.030257354046066724,10,0,80,0.9739236407020242,"OrderedDict([('alpha', 0.004119075841860079), ('colsample_bytree', 0.1), ('gamma', 1e-09), ('lambda', 3.0995452968358134e-08), ('learning_rate', 0.030257354046066724), ('max_depth', 10), ('min_child_weight', 0), ('n_estimators', 80), ('subsample', 0.9739236407020242)])"
14,0.9389110225763613,0.9414893617021277,0.9428191489361702,0.9428191489361702,0.9414893617021277,0.9415049189045467,0.0014275447887348392,6,4.185264825820923,0.040923510378259864,0.019566917419433595,0.004003134072781855,1.3457920647138357e-05,0.1,1e-09,1e-09,0.36534896933290234,20,0,50,0.8958299043307665,"OrderedDict([('alpha', 1.3457920647138357e-05), ('colsample_bytree', 0.1), ('gamma', 1e-09), ('lambda', 1e-09), ('learning_rate', 0.36534896933290234), ('max_depth', 20), ('min_child_weight', 0), ('n_estimators', 50), ('subsample', 0.8958299043307665)])"
15,0.8353253652058433,0.8164893617021277,0.7898936170212766,0.788563829787234,0.8351063829787234,0.8130816272268013,0.020641627716095793,21,1.753375768661499,0.08019048717719682,0.017529869079589845,0.006574448627808348,1e-09,0.1,1e-09,149.20448928402885,0.01,20,0,50,0.5,"OrderedDict([('alpha', 1e-09), ('colsample_bytree', 0.1), ('gamma', 1e-09), ('lambda', 149.20448928402885), ('learning_rate', 0.01), ('max_depth', 20), ('min_child_weight', 0), ('n_estimators', 50), ('subsample', 0.5)])"
16,0.9243027888446215,0.9441489361702128,0.7460106382978723,0.9321808510638298,0.9428191489361702,0.8978994948152087,0.07627915294309043,18,2.8945298194885254,0.14061899718582876,0.021878719329833984,0.0030367043866927185,0.00033818465435697637,0.1,3.720448002384129e-06,1.0998953219616426e-07,1.0,20,0,50,1.0,"OrderedDict([('alpha', 0.00033818465435697637), ('colsample_bytree', 0.1), ('gamma', 3.720448002384129e-06), ('lambda', 1.0998953219616426e-07), ('learning_rate', 1.0), ('max_depth', 20), ('min_child_weight', 0), ('n_estimators', 50), ('subsample', 1.0)])"
17,0.950863213811421,0.9574468085106383,0.9428191489361702,0.9481382978723404,0.9441489361702128,0.9486838606753523,0.005230043966562081,2,7.3161839008331295,0.05845942656791884,0.019892311096191405,0.004398576756965524,6.837949891344249e-05,0.4120911740852755,1e-09,1.626501023119927e-06,0.37992426783942546,14,0,50,0.887400519617906,"OrderedDict([('alpha', 6.837949891344249e-05), ('colsample_bytree', 0.4120911740852755), ('gamma', 1e-09), ('lambda', 1.626501023119927e-06), ('learning_rate', 0.37992426783942546), ('max_depth', 14), ('min_child_weight', 0), ('n_estimators', 50), ('subsample', 0.887400519617906)])"
18,0.9442231075697212,0.9547872340425532,0.949468085106383,0.9348404255319149,0.9401595744680851,0.9446955596915714,0.006963860145487431,5,6.380024480819702,0.08722230010557028,0.021988582611083985,0.005223718175606043,1.3995847275895571e-05,0.27147829587262184,1e-09,1e-09,0.2580911132170718,19,0,50,0.5,"OrderedDict([('alpha', 1.3995847275895571e-05), ('colsample_bytree', 0.27147829587262184), ('gamma', 1e-09), ('lambda', 1e-09), ('learning_rate', 0.2580911132170718), ('max_depth', 19), ('min_child_weight', 0), ('n_estimators', 50), ('subsample', 0.5)])"
19,0.9389110225763613,0.961436170212766,0.9454787234042553,0.9521276595744681,0.9468085106382979,0.9489497474076044,0.0075296400536768665,1,6.275642967224121,0.13031559403793702,0.02018136978149414,0.006031142404050753,0.00019924519155244455,0.32989933298568475,1e-09,1.0342642810019773e-09,0.29762436795987596,15,0,50,0.857340870632541,"OrderedDict([('alpha', 0.00019924519155244455), ('colsample_bytree', 0.32989933298568475), ('gamma', 1e-09), ('lambda', 1.0342642810019773e-09), ('learning_rate', 0.29762436795987596), ('max_depth', 15), ('min_child_weight', 0), ('n_estimators', 50), ('subsample', 0.857340870632541)])"
20,0.7078353253652059,0.7021276595744681,0.6981382978723404,0.7087765957446809,0.6914893617021277,0.701675086413188,0.006400603837066404,22,2.62605242729187,0.10371942485393047,0.019378471374511718,0.006629054407130414,2.3923539227808185e-05,0.1,1e-09,1000.0,0.01,11,0,79,0.5,"OrderedDict([('alpha', 2.3923539227808185e-05), ('colsample_bytree', 0.1), ('gamma', 1e-09), ('lambda', 1000.0), ('learning_rate', 0.01), ('max_depth', 11), ('min_child_weight', 0), ('n_estimators', 79), ('subsample', 0.5)])"
21,0.9402390438247012,0.9574468085106383,0.9481382978723404,0.9454787234042553,0.9428191489361702,0.9468226535495878,0.0059294618287815005,3,11.267006206512452,0.28171494398481595,0.01823105812072754,0.003390067803954217,2.2491378797880083e-07,0.6249625556255671,1e-09,8.199316912062289e-07,0.2679860542262744,19,0,50,0.5,"OrderedDict([('alpha', 2.2491378797880083e-07), ('colsample_bytree', 0.6249625556255671), ('gamma', 1e-09), ('lambda', 8.199316912062289e-07), ('learning_rate', 0.2679860542262744), ('max_depth', 19), ('min_child_weight', 0), ('n_estimators', 50), ('subsample', 0.5)])"
22,0.9402390438247012,0.9375,0.9335106382978723,0.9321808510638298,0.925531914893617,0.9337942036692369,0.00502472452088216,11,5.609892892837524,0.16193567072757795,0.02212696075439453,0.009152783577327111,1e-09,0.3359115161816394,4.034595472832787e-07,1.0546533375620022e-05,0.04097492296952159,9,0,68,0.585906824790697,"OrderedDict([('alpha', 1e-09), ('colsample_bytree', 0.3359115161816394), ('gamma', 4.034595472832787e-07), ('lambda', 1.0546533375620022e-05), ('learning_rate', 0.04097492296952159), ('max_depth', 9), ('min_child_weight', 0), ('n_estimators', 68), ('subsample', 0.585906824790697)])"
23,0.5816733067729084,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5824468085106383,0.5822919436320129,0.00030952402507477097,23,1.0408934593200683,0.03293893619459536,0.02460641860961914,0.007005770463703905,0.005218392723880844,1.0,1e-09,1000.0,0.4275375147840923,0,0,53,0.5008183201071418,"OrderedDict([('alpha', 0.005218392723880844), ('colsample_bytree', 1.0), ('gamma', 1e-09), ('lambda', 1000.0), ('learning_rate', 0.4275375147840923), ('max_depth', 0), ('min_child_weight', 0), ('n_estimators', 53), ('subsample', 0.5008183201071418)])"
24,0.9296148738379814,0.9401595744680851,0.9414893617021277,0.9242021276595744,0.9361702127659575,0.934325977133741,0.006533080758024686,9,6.100903415679932,0.05696592558366465,0.025591564178466798,0.0031959107029432957,1.1257014627913703e-06,0.7340257486267407,1e-09,3.7147838903210847e-09,0.26731791895671136,14,7,52,0.7677674634649959,"OrderedDict([('alpha', 1.1257014627913703e-06), ('colsample_bytree', 0.7340257486267407), ('gamma', 1e-09), ('lambda', 3.7147838903210847e-09), ('learning_rate', 0.26731791895671136), ('max_depth', 14), ('min_child_weight', 7), ('n_estimators', 52), ('subsample', 0.7677674634649959)])"
