,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_grow_policy,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,params
0,0.9238263950398583,0.9397163120567376,0.9157801418439716,0.926440177252585,0.009943881938905033,22,1.5371370315551758,0.022532937212460757,0.05009603500366211,0.012020972191450298,0.702644992444359,2,Lossguide,154,16,0.5995850697313659,3.8447832291713815e-09,"OrderedDict([('bagging_temperature', 0.702644992444359), ('depth', 2), ('grow_policy', 'Lossguide'), ('iterations', 154), ('l2_leaf_reg', 16), ('learning_rate', 0.5995850697313659), ('random_strength', 3.8447832291713815e-09)])"
1,0.9397697077059345,0.9414893617021277,0.9352836879432624,0.938847858197932,0.0026156799528797075,7,6.229645252227783,0.12165353060144692,0.05696479479471842,0.004959041507664615,0.6835574398742915,4,Depthwise,440,13,0.3110826353532231,2.749734943636558e-09,"OrderedDict([('bagging_temperature', 0.6835574398742915), ('depth', 4), ('grow_policy', 'Depthwise'), ('iterations', 440), ('l2_leaf_reg', 13), ('learning_rate', 0.3110826353532231), ('random_strength', 2.749734943636558e-09)])"
2,0.8981399468556245,0.9175531914893617,0.8723404255319149,0.8960118168389956,0.018516610402676367,28,1.556583086649577,0.009105335909429007,0.042864481608072914,0.008177424631993767,0.8303990122072878,1,SymmetricTree,287,15,0.23962674706412077,0.007389231992179819,"OrderedDict([('bagging_temperature', 0.8303990122072878), ('depth', 1), ('grow_policy', 'SymmetricTree'), ('iterations', 287), ('l2_leaf_reg', 15), ('learning_rate', 0.23962674706412077), ('random_strength', 0.007389231992179819)])"
3,0.937112488928255,0.9459219858156028,0.9290780141843972,0.937370753323486,0.006877933829106517,11,8.942469358444214,0.3217956744487591,0.05748597780863444,0.006867074591709477,0.7034400418549065,5,Depthwise,408,14,0.558142285946129,8.384782344882137,"OrderedDict([('bagging_temperature', 0.7034400418549065), ('depth', 5), ('grow_policy', 'Depthwise'), ('iterations', 408), ('l2_leaf_reg', 14), ('learning_rate', 0.558142285946129), ('random_strength', 8.384782344882137)])"
4,0.9344552701505757,0.9414893617021277,0.9290780141843972,0.9350073855243722,0.005081196463129948,16,8.038989941279093,0.15231774146590807,0.050213893254597984,0.013612199881701327,0.8776851319206269,4,Depthwise,575,15,0.08052820767874733,0.023312861722486457,"OrderedDict([('bagging_temperature', 0.8776851319206269), ('depth', 4), ('grow_policy', 'Depthwise'), ('iterations', 575), ('l2_leaf_reg', 15), ('learning_rate', 0.08052820767874733), ('random_strength', 0.023312861722486457)])"
5,0.9034543844109831,0.9210992907801419,0.9033687943262412,0.9093057607090104,0.008337510686877497,27,7.79414423306783,0.05742604648652917,0.04972243309020996,0.00420549740270768,0.9675657964283417,5,Lossguide,206,20,0.010437105746320277,0.006035789752463445,"OrderedDict([('bagging_temperature', 0.9675657964283417), ('depth', 5), ('grow_policy', 'Lossguide'), ('iterations', 206), ('l2_leaf_reg', 20), ('learning_rate', 0.010437105746320277), ('random_strength', 0.006035789752463445)])"
6,0.9202834366696191,0.9379432624113475,0.9273049645390071,0.9285081240768095,0.007260122873928322,18,3.017535924911499,0.02048153177642646,0.056284427642822266,0.008704706247369172,0.6497179282036988,2,Lossguide,385,8,0.4297767320932693,0.0004204165641133956,"OrderedDict([('bagging_temperature', 0.6497179282036988), ('depth', 2), ('grow_policy', 'Lossguide'), ('iterations', 385), ('l2_leaf_reg', 8), ('learning_rate', 0.4297767320932693), ('random_strength', 0.0004204165641133956)])"
7,0.9238263950398583,0.9290780141843972,0.924645390070922,0.9258493353028066,0.0023068773164537973,23,68.57592058181763,0.4122589704115274,0.05114515622456869,0.004649992902575245,0.31614545298544944,8,SymmetricTree,550,20,0.011832839672071098,8.442528325696921e-05,"OrderedDict([('bagging_temperature', 0.31614545298544944), ('depth', 8), ('grow_policy', 'SymmetricTree'), ('iterations', 550), ('l2_leaf_reg', 20), ('learning_rate', 0.011832839672071098), ('random_strength', 8.442528325696921e-05)])"
8,0.9424269264836138,0.9397163120567376,0.9343971631205674,0.938847858197932,0.003335372162355558,7,26.363877693812054,0.027830820751002277,0.05144588152567545,0.00797437836660679,0.4474239528275963,6,SymmetricTree,683,14,0.08786158413988417,2.1895652968697026e-06,"OrderedDict([('bagging_temperature', 0.4474239528275963), ('depth', 6), ('grow_policy', 'SymmetricTree'), ('iterations', 683), ('l2_leaf_reg', 14), ('learning_rate', 0.08786158413988417), ('random_strength', 2.1895652968697026e-06)])"
9,0.941541186891054,0.9468085106382979,0.9370567375886525,0.9418020679468242,0.003984832529395509,2,36.0935894648234,0.9026339529479642,0.0629137357076009,0.0009403055734097845,0.11647776222456444,7,Lossguide,744,26,0.05067393567780821,0.021594803807743077,"OrderedDict([('bagging_temperature', 0.11647776222456444), ('depth', 7), ('grow_policy', 'Lossguide'), ('iterations', 744), ('l2_leaf_reg', 26), ('learning_rate', 0.05067393567780821), ('random_strength', 0.021594803807743077)])"
10,0.9255978742249779,0.9326241134751773,0.925531914893617,0.9279172821270311,0.0033276039401213685,20,6.353562037150065,0.04597193161433624,0.04576770464579264,0.004339578566120242,0.46148637123108943,2,Lossguide,882,2,1.0,1e-09,"OrderedDict([('bagging_temperature', 0.46148637123108943), ('depth', 2), ('grow_policy', 'Lossguide'), ('iterations', 882), ('l2_leaf_reg', 2), ('learning_rate', 1.0), ('random_strength', 1e-09)])"
11,0.8396811337466785,0.8413120567375887,0.8164893617021277,0.8324963072378139,0.011335685894077154,30,0.23019806543986002,0.011169150122590428,0.05003094673156738,0.01103342619204176,0.4202043253690287,1,Depthwise,14,13,1.0,1e-09,"OrderedDict([('bagging_temperature', 0.4202043253690287), ('depth', 1), ('grow_policy', 'Depthwise'), ('iterations', 14), ('l2_leaf_reg', 13), ('learning_rate', 1.0), ('random_strength', 1e-09)])"
12,0.9185119574844995,0.9273049645390071,0.9202127659574468,0.9220088626292466,0.003807929888787742,25,68.0206237634023,0.13986533077885055,0.051243225733439125,0.007592134838025301,0.43734127718319005,7,SymmetricTree,1000,28,0.01,0.001304486807453114,"OrderedDict([('bagging_temperature', 0.43734127718319005), ('depth', 7), ('grow_policy', 'SymmetricTree'), ('iterations', 1000), ('l2_leaf_reg', 28), ('learning_rate', 0.01), ('random_strength', 0.001304486807453114)])"
13,0.941541186891054,0.9459219858156028,0.9326241134751773,0.9400295420974889,0.005532366216845483,4,25.783744255701702,0.2310248524830745,0.06712023417154948,0.002950473552813587,0.22594088482660485,8,Lossguide,489,29,0.057431764666274594,0.04384178814477381,"OrderedDict([('bagging_temperature', 0.22594088482660485), ('depth', 8), ('grow_policy', 'Lossguide'), ('iterations', 489), ('l2_leaf_reg', 29), ('learning_rate', 0.057431764666274594), ('random_strength', 0.04384178814477381)])"
14,0.941541186891054,0.9326241134751773,0.9343971631205674,0.9361890694239291,0.0038547469526581985,12,39.84753759702047,1.1166249714874412,0.06555660565694173,0.00920916343375972,0.399844383469001,8,Depthwise,500,30,1.0,10.0,"OrderedDict([('bagging_temperature', 0.399844383469001), ('depth', 8), ('grow_policy', 'Depthwise'), ('iterations', 500), ('l2_leaf_reg', 30), ('learning_rate', 1.0), ('random_strength', 10.0)])"
15,0.912311780336581,0.9317375886524822,0.8927304964539007,0.9122599704579025,0.015922268488797863,26,3.9920500119527182,0.01345128078604642,0.05180819829305013,0.0013735343429078068,0.865551291885819,1,SymmetricTree,795,29,0.4120519501005166,0.012260714972230082,"OrderedDict([('bagging_temperature', 0.865551291885819), ('depth', 1), ('grow_policy', 'SymmetricTree'), ('iterations', 795), ('l2_leaf_reg', 29), ('learning_rate', 0.4120519501005166), ('random_strength', 0.012260714972230082)])"
16,0.9424269264836138,0.9459219858156028,0.9343971631205674,0.9409158050221565,0.004824224241680703,3,40.94442550341288,0.41936613485281055,0.07480152448018391,0.008962842746924684,0.38067326451056427,10,Lossguide,718,14,0.017678112477495296,3.2635178428904377e-09,"OrderedDict([('bagging_temperature', 0.38067326451056427), ('depth', 10), ('grow_policy', 'Lossguide'), ('iterations', 718), ('l2_leaf_reg', 14), ('learning_rate', 0.017678112477495296), ('random_strength', 3.2635178428904377e-09)])"
17,0.9317980513728964,0.9441489361702128,0.9308510638297872,0.9355982274741507,0.006057276498845106,15,13.407986481984457,0.5351338441459327,0.06089941660563151,0.004022313117621577,0.16878221632591886,5,Depthwise,627,30,0.0805946939888177,3.7202973670315984e-09,"OrderedDict([('bagging_temperature', 0.16878221632591886), ('depth', 5), ('grow_policy', 'Depthwise'), ('iterations', 627), ('l2_leaf_reg', 30), ('learning_rate', 0.0805946939888177), ('random_strength', 3.7202973670315984e-09)])"
18,0.9193976970770593,0.9370567375886525,0.925531914893617,0.9273264401772526,0.007320569142171376,21,3.003429412841797,0.022798863765658067,0.05517443021138509,0.010963622183293642,0.0,2,Depthwise,426,17,0.7029665056701165,10.0,"OrderedDict([('bagging_temperature', 0.0), ('depth', 2), ('grow_policy', 'Depthwise'), ('iterations', 426), ('l2_leaf_reg', 17), ('learning_rate', 0.7029665056701165), ('random_strength', 10.0)])"
19,0.9309123117803366,0.9397163120567376,0.9423758865248227,0.9376661742983752,0.00489960098816362,10,89.48427844047546,9.049170647393339,0.06731025377909343,0.005937675379963411,0.0,10,Depthwise,707,20,1.0,10.0,"OrderedDict([('bagging_temperature', 0.0), ('depth', 10), ('grow_policy', 'Depthwise'), ('iterations', 707), ('l2_leaf_reg', 20), ('learning_rate', 1.0), ('random_strength', 10.0)])"
20,0.941541186891054,0.949468085106383,0.9414893617021277,0.9441654357459379,0.00374876829672453,1,51.00155528386434,1.2837148603588096,0.08206637700398763,0.005947573315540375,0.0,10,Lossguide,874,23,0.023228996553704882,4.444981421350648e-08,"OrderedDict([('bagging_temperature', 0.0), ('depth', 10), ('grow_policy', 'Lossguide'), ('iterations', 874), ('l2_leaf_reg', 23), ('learning_rate', 0.023228996553704882), ('random_strength', 4.444981421350648e-08)])"
21,0.937112488928255,0.9432624113475178,0.9397163120567376,0.9400295420974889,0.002520626037970274,4,25.611425399780273,0.1098191099770493,0.05585638682047526,0.006516615272530712,1.0,10,Lossguide,440,25,0.4129068717498737,1.9935758001761107e-08,"OrderedDict([('bagging_temperature', 1.0), ('depth', 10), ('grow_policy', 'Lossguide'), ('iterations', 440), ('l2_leaf_reg', 25), ('learning_rate', 0.4129068717498737), ('random_strength', 1.9935758001761107e-08)])"
22,0.9353410097431355,0.9459219858156028,0.9361702127659575,0.9391432791728213,0.004804150853318568,6,13.286412000656128,1.3671408615937464,0.05592616399129232,0.006672660411186874,0.31336198431105333,7,Depthwise,224,23,0.2512401048305712,0.0001542365502863931,"OrderedDict([('bagging_temperature', 0.31336198431105333), ('depth', 7), ('grow_policy', 'Depthwise'), ('iterations', 224), ('l2_leaf_reg', 23), ('learning_rate', 0.2512401048305712), ('random_strength', 0.0001542365502863931)])"
23,0.937112488928255,0.9406028368794326,0.9379432624113475,0.9385524372230428,0.001488685914486333,9,32.22056778271993,3.451097665097628,0.05471022923787435,0.006348317252626214,0.20797229046651985,6,Depthwise,1000,22,0.4449911640206119,0.308791677710643,"OrderedDict([('bagging_temperature', 0.20797229046651985), ('depth', 6), ('grow_policy', 'Depthwise'), ('iterations', 1000), ('l2_leaf_reg', 22), ('learning_rate', 0.4449911640206119), ('random_strength', 0.308791677710643)])"
24,0.9362267493356953,0.9432624113475178,0.9281914893617021,0.9358936484490399,0.006156280714851684,13,463.63787897427875,1.1957771613214343,0.05167452494303385,0.0037310433016929253,0.0,10,SymmetricTree,1000,30,1.0,10.0,"OrderedDict([('bagging_temperature', 0.0), ('depth', 10), ('grow_policy', 'SymmetricTree'), ('iterations', 1000), ('l2_leaf_reg', 30), ('learning_rate', 1.0), ('random_strength', 10.0)])"
25,0.8476527900797166,0.8643617021276596,0.8448581560283688,0.8522895125553914,0.008610368753445724,29,0.3296515146891276,0.006434576023642897,0.04009405771891276,0.0066288037803190515,0.027008925199289303,4,SymmetricTree,10,2,0.061219482039214485,2.668913704545444e-08,"OrderedDict([('bagging_temperature', 0.027008925199289303), ('depth', 4), ('grow_policy', 'SymmetricTree'), ('iterations', 10), ('l2_leaf_reg', 2), ('learning_rate', 0.061219482039214485), ('random_strength', 2.668913704545444e-08)])"
26,0.9229406554472985,0.9379432624113475,0.9157801418439716,0.9255539143279173,0.009233673247368002,24,1.9735663731892903,0.01475410172339981,0.04378938674926758,0.012163390642113381,0.0,4,SymmetricTree,184,20,0.1629361194658152,3.499212147676258e-07,"OrderedDict([('bagging_temperature', 0.0), ('depth', 4), ('grow_policy', 'SymmetricTree'), ('iterations', 184), ('l2_leaf_reg', 20), ('learning_rate', 0.1629361194658152), ('random_strength', 3.499212147676258e-07)])"
27,0.9317980513728964,0.9352836879432624,0.9175531914893617,0.9282127031019203,0.007668941556960659,19,6.210700750350952,0.4391617818789172,0.053102731704711914,0.007020473755516042,0.0,2,Depthwise,936,2,0.16475294629128082,0.12429302269924407,"OrderedDict([('bagging_temperature', 0.0), ('depth', 2), ('grow_policy', 'Depthwise'), ('iterations', 936), ('l2_leaf_reg', 2), ('learning_rate', 0.16475294629128082), ('random_strength', 0.12429302269924407)])"
28,0.9362267493356953,0.9317375886524822,0.9397163120567376,0.9358936484490399,0.0032653326617838986,13,37.61594525973002,3.187890184922889,0.05220158894856771,0.014655393113244701,0.8072148080614125,10,Depthwise,215,27,1.0,4.794649286379709e-08,"OrderedDict([('bagging_temperature', 0.8072148080614125), ('depth', 10), ('grow_policy', 'Depthwise'), ('iterations', 215), ('l2_leaf_reg', 27), ('learning_rate', 1.0), ('random_strength', 4.794649286379709e-08)])"
29,0.937112488928255,0.9423758865248227,0.924645390070922,0.934711964549483,0.007433936940186019,17,221.3915380636851,5.713102644806773,0.0710611343383789,0.0101826405526284,0.0,10,Depthwise,827,20,0.01,2.6632437269853064e-08,"OrderedDict([('bagging_temperature', 0.0), ('depth', 10), ('grow_policy', 'Depthwise'), ('iterations', 827), ('l2_leaf_reg', 20), ('learning_rate', 0.01), ('random_strength', 2.6632437269853064e-08)])"
